Período;N º de chamadas de emergência atendidas
2014-09-29;3732.0
2014-10-08;3447.0
2014-10-09;3454.0
2014-10-10;3690.0
2014-10-11;3374.0
2014-10-15;3479.0
2014-10-25;3484.0
2014-10-26;3509.0
2014-10-31;3428.0
2014-11-03;3425.0
2014-11-10;3747.0
2014-11-12;3730.0
2014-11-19;3493.0
2014-11-21;3782.0
2014-11-26;3383.0
2014-11-29;3568.0
2014-12-03;3581.0
2014-12-10;3652.0
2014-12-11;3753.0
2015-01-08;3908.0
2015-01-31;3982.0
2015-02-08;3846.0
2015-02-15;3791.0
2015-02-17;3576.0
2015-02-18;3706.0
2015-02-25;3671.0
2015-03-01;3638.0
2015-03-02;4017.0
2015-03-09;3730.0
2015-03-12;3416.0
2015-03-13;3565.0
2015-03-15;3422.0
2015-03-19;3638.0
2015-03-26;3282.0
2015-04-02;3414.0
2015-04-08;2997.0
2015-04-20;3458.0
2015-04-22;3338.0
2015-04-24;3380.0
2015-04-26;2919.0
2015-04-27;3403.0
2015-05-12;3599.0
2015-05-14;3465.0
2015-05-17;3605.0
2015-05-19;3297.0
2015-06-12;3355.0
2015-06-20;3775.0
2015-06-23;3268.0
2015-06-28;3552.0
2015-07-01;3333.0
2015-07-07;3284.0
2015-07-13;3649.0
2015-07-18;3342.0
2015-07-26;3590.0
2015-07-28;3608.0
2015-07-31;3448.0
2015-08-04;3486.0
2015-08-12;3602.0
2015-08-15;3525.0
2015-09-02;3174.0
2015-09-10;3206.0
2015-09-21;3539.0
2015-10-08;3658.0
2015-10-14;3590.0
2015-10-16;3565.0
2015-10-18;3293.0
2015-11-16;3759.0
2015-11-19;3520.0
2015-12-02;3616.0
2015-12-08;3208.0
2015-12-09;3729.0
2015-12-12;3568.0
2015-12-21;3563.0
2015-12-24;3464.0
2015-12-25;3752.0
2016-01-01;4999.0
2016-01-09;3462.0
2016-01-11;4014.0
2016-01-14;3638.0
2016-01-17;3126.0
2016-01-24;3571.0
2016-01-25;3754.0
2016-01-26;3763.0
2016-02-10;3880.0
2016-02-16;3808.0
2016-02-23;3728.0
2016-03-03;3835.0
2016-03-15;3772.0
2016-03-17;3772.0
2016-04-10;3267.0
2016-04-15;3591.0
2016-04-16;3591.0
2016-04-18;3766.0
2016-04-19;3617.0
2016-04-29;3687.0
2016-05-03;3855.0
2016-05-06;3855.0
2016-05-08;3550.0
2016-05-10;3677.0
2016-05-12;3624.0
2016-05-13;3647.0
2016-05-15;3676.0
2016-05-18;3509.0
2016-05-27;3783.0
2016-05-28;3201.0
2016-06-17;3324.0
2016-06-18;3384.0
2016-06-20;3814.0
2016-06-23;3590.0
2016-06-26;3731.0
2016-06-28;3600.0
2016-06-30;3492.0
2016-07-07;3851.0
2016-07-08;3799.0
2016-07-11;4185.0
2016-07-13;3751.0
2016-07-21;3684.0
2016-07-27;3988.0
2016-08-10;4068.0
2016-08-15;3848.0
2016-08-16;3945.0
2016-08-18;3677.0
2016-08-25;3631.0
2016-08-29;3789.0
2016-08-31;3356.0
2016-09-04;3958.0
2016-09-05;4013.0
2016-09-06;4104.0
2016-09-10;3699.0
2016-09-20;3591.0
2016-09-30;4027.0
2016-10-06;3857.0
2016-10-07;3600.0
2016-10-17;3877.0
2016-10-26;3768.0
2016-10-29;3580.0
2016-10-30;3654.0
2016-11-07;3735.0
2016-11-08;3643.0
2016-11-09;3359.0
2016-11-12;3735.0
2016-11-26;3879.0
2016-11-27;3914.0
2016-12-10;3921.0
2016-12-21;3970.0
2016-12-25;4041.0
2016-12-27;4456.0
2016-12-28;4457.0
2016-12-29;4335.0
2017-01-03;4753.0
2017-01-05;4216.0
2017-01-08;3923.0
2017-01-10;4230.0
2017-01-12;3976.0
2017-01-14;3713.0
2017-01-16;4274.0
2017-01-19;3844.0
2017-01-22;3864.0
2017-01-25;3983.0
2017-01-27;3993.0
2017-01-29;3891.0
2017-02-02;3814.0
2017-02-07;3752.0
2017-02-11;3659.0
2017-02-18;3384.0
2017-02-20;3974.0
2017-02-22;3809.0
2017-02-25;3675.0
2017-02-27;3674.0
2017-03-20;3753.0
2017-03-23;3456.0
2017-03-25;3214.0
2017-04-01;3524.0
2017-04-18;3395.0
2017-04-26;3447.0
2017-04-27;3460.0
2017-05-02;3823.0
2017-05-03;3739.0
2017-05-06;3622.0
2017-05-11;3576.0
2017-05-16;3740.0
2017-05-20;3694.0
2017-05-22;3969.0
2017-05-28;3447.0
2017-06-01;3617.0
2017-06-08;3882.0
2017-06-09;3712.0
2017-06-13;3924.0
2017-06-18;4167.0
2017-06-26;3676.0
2017-06-28;3449.0
2017-06-30;3338.0
2017-07-02;3621.0
2017-07-06;3423.0
2017-07-09;3519.0
2017-07-23;3676.0
2017-07-26;3614.0
2017-08-05;3766.0
2017-08-13;3938.0
2017-08-14;3897.0
2017-08-17;3661.0
2017-08-24;3811.0
2017-08-30;3223.0
2017-09-07;3647.0
2017-09-09;3567.0
2017-09-10;3527.0
2017-09-17;3358.0
2017-09-21;3586.0
2017-09-22;3652.0
2017-09-27;3784.0
2017-09-28;3898.0
2017-10-06;4038.0
2017-10-10;3701.0
2017-10-17;3740.0
2017-10-29;3798.0
2017-10-30;3970.0
2017-11-10;3968.0
2017-11-13;4084.0
2017-11-16;3843.0
2017-11-20;4165.0
2017-11-24;4016.0
2017-11-26;3557.0
2017-11-28;3777.0
2017-12-03;3630.0
2017-12-05;3664.0
2017-12-08;3888.0
2017-12-10;3675.0
2017-12-12;4196.0
2017-12-16;4025.0
2017-12-29;4329.0
2018-01-05;3923.0
2018-01-12;4012.0
2018-01-14;3858.0
2018-01-18;4169.0
2018-01-22;4329.0
2018-02-05;4289.0
2018-02-11;4231.0
2018-02-12;4411.0
2018-02-20;4209.0
2012-01-13;3059.0
2012-01-14;3049.0
2012-01-27;3152.0
2012-01-28;3120.0
2012-02-12;3761.0
2012-02-13;3793.0
2012-02-25;3777.0
2012-02-29;3680.0
2012-03-06;3365.0
