confirmation_date1;day_cum_abs_num;day_ob_abs_num
04/03/2020;1;
05/03/2020;3;
06/03/2020;6;
07/03/2020;7;
08/03/2020;7;
09/03/2020;5;
10/03/2020;10;
11/03/2020;12;
12/03/2020;37;
13/03/2020;47;
14/03/2020;93;
15/03/2020;83;
16/03/2020;111;1
17/03/2020;111;1
18/03/2020;144;2
19/03/2020;259;1
20/03/2020;218;5
21/03/2020;236;5
22/03/2020;310;11
23/03/2020;327;11
24/03/2020;578;12
25/03/2020;482;16
26/03/2020;603;17
27/03/2020;722;25
28/03/2020;561;20
29/03/2020;446;23
30/03/2020;934;29
31/03/2020;857;35
01/04/2020;721;26
02/04/2020;735;37
03/04/2020;708;25
04/04/2020;586;28
05/04/2020;495;26
06/04/2020;752;41
07/04/2020;683;40
08/04/2020;748;34
09/04/2020;664;28
10/04/2020;548;38
11/04/2020;542;31
12/04/2020;433;34
13/04/2020;656;35
14/04/2020;703;34
15/04/2020;679;31
16/04/2020;704;28
17/04/2020;722;33
18/04/2020;338;30
19/04/2020;422;26
20/04/2020;616;28
21/04/2020;501;24
22/04/2020;544;37
23/04/2020;563;21
24/04/2020;469;30
25/04/2020;269;23
26/04/2020;260;24
27/04/2020;470;20
28/04/2020;470;27
29/04/2020;422;14
30/04/2020;411;20
01/05/2020;238;17
02/05/2020;206;20
03/05/2020;182;22
04/05/2020;451;10
05/05/2020;408;15
06/05/2020;371;16
07/05/2020;400;9
08/05/2020;335;11
09/05/2020;176;10
10/05/2020;177;9
11/05/2020;324;16
12/05/2020;254;10
13/05/2020;249;5
14/05/2020;290;10
15/05/2020;283;10
16/05/2020;228;13
17/05/2020;208;5
18/05/2020;323;10
19/05/2020;367;11
20/05/2020;293;11
21/05/2020;339;5
22/05/2020;345;10
23/05/2020;151;10
24/05/2020;180;11
25/05/2020;258;9
26/05/2020;316;10
27/05/2020;297;9
28/05/2020;360;11
29/05/2020;296;11
30/05/2020;231;9
31/05/2020;159;10
01/06/2020;350;12
02/06/2020;296;6
03/06/2020;378;5
04/06/2020;325;7
05/06/2020;412;8
06/06/2020;234;5
07/06/2020;122;7
08/06/2020;444;6
09/06/2020;358;4
