Período;Região;Entidade;Número de Novos Registos
2024-07-15;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;19
2024-07-16;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;20
2024-07-18;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;6
2024-07-12;ARS Norte;ACES Ave / Famalicão;26
2024-07-20;ARS Norte;ACES Ave / Famalicão;10
2024-07-09;ARS Norte;ACES Cávado I - Braga;37
2024-07-17;ARS Norte;ACES Cávado I - Braga;30
2024-07-20;ARS Norte;ACES Cávado I - Braga;19
2024-07-20;ARS Norte;ACES Cávado II - Gerês / Cabreira;5
2024-07-15;ARS Norte;ACES Cávado III - Barcelos / Esposende;42
2024-07-18;ARS Norte;ACES Cávado III - Barcelos / Esposende;24
2024-07-20;ARS Norte;ACES Cávado III - Barcelos / Esposende;12
2024-07-08;ARS Norte;ACES Douro II - Douro Sul;5
2024-07-11;ARS Norte;ACES Douro II - Douro Sul;7
2024-07-08;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;26
2024-07-14;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;7
2024-07-16;ARS Norte;ACES Entre Douro e Vouga II - Aveiro Norte;27
2024-07-17;ARS Norte;ACES Entre Douro e Vouga II - Aveiro Norte;22
2024-07-08;ARS Norte;ACES Grande Porto I - Santo Tirso / Trofa;23
2024-07-21;ARS Norte;ACES Grande Porto I - Santo Tirso / Trofa;2
2024-07-22;ARS Norte;ACES Grande Porto I - Santo Tirso / Trofa;14
2024-07-15;ARS Norte;ACES Grande Porto II - Gondomar;33
2024-07-15;ARS Norte;ACES Grande Porto III - Maia / Valongo;35
2024-07-20;ARS Norte;ACES Grande Porto III - Maia / Valongo;18
2024-07-22;ARS Norte;ACES Grande Porto III - Maia / Valongo;43
2024-07-12;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;26
2024-07-13;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;7
2024-07-17;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;24
2024-07-18;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;42
2024-07-17;ARS Norte;ACES Grande Porto V - Porto Ocidental;34
2024-07-08;ARS Norte;ACES Grande Porto VI - Porto Oriental;21
2024-07-10;ARS Norte;ACES Grande Porto VI - Porto Oriental;22
2024-07-12;ARS Norte;ACES Grande Porto VI - Porto Oriental;11
2024-07-13;ARS Norte;ACES Grande Porto VI - Porto Oriental;6
2024-07-15;ARS Norte;ACES Grande Porto VI - Porto Oriental;21
