Período;Nº Chamadas de Emergência Transferidas para a Saúde 24
2012-02;6557
2012-11;1457
2013-02;3171
2013-03;3532
2013-07;4317
2013-08;4519
2013-10;3799
2014-06;3952
2014-07;3891
2014-12;3819
2015-05;4282
2015-12;4552
2016-09;5969
2016-11;5289
2017-10;6572
2019-01;6184
2019-12;5966
2020-10;6502
2021-03;6091
2021-04;6742
2021-06;7843
2021-10;7130
2021-12;8949
2022-05;12430
2022-06;9076
2022-09;7239
2022-10;6831
2022-11;7539
2023-02;7084
2023-06;7307
2024-05;5710
2024-06;5941
2012-04;4062
2012-06;4282
2012-07;4294
2013-04;3537
2013-05;3668
2013-11;3735
2014-02;3605
2014-04;3635
2015-07;4181
2016-06;5936
2016-08;6675
2017-02;5808
2017-04;6160
2017-05;6263
2017-06;6602
2017-07;6449
2017-08;6606
2018-03;5959
2018-04;5738
2018-09;5006
2018-12;5451
2019-09;6087
2019-11;5653
2020-01;6230
2020-05;8742
2021-09;7680
2021-11;7539
2022-03;8545
2023-01;7399
2023-04;6598
2023-07;7637
2012-03;4407
2012-12;2319
2013-12;3932
2014-03;3848
2014-05;3793
2014-08;4267
2014-11;3531
2015-03;4122
2015-04;3837
2015-11;4614
2017-09;6371
2018-01;6882
2018-06;5594
2018-07;6029
2018-08;5635
2018-10;4829
2019-08;6452
2019-10;6177
2020-02;5261
2020-06;8451
2020-09;6457
2020-12;6493
2021-05;7377
2021-08;9109
2022-02;7958
2022-07;8748
2022-08;8027
2023-03;8145
2023-08;8183
2023-09;7467
2024-01;7252
2024-02;6189
2024-03;6327
2012-08;4735
2012-10;3727
2013-01;3495
2013-06;3574
2013-09;3789
2014-01;4224
2014-09;3676
2015-06;3920
2015-08;4409
2015-09;3814
2016-01;4820
2016-02;4246
2016-04;5976
2016-12;6146
2017-01;6460
2017-03;6416
2017-11;5790
2018-02;6189
2018-11;5269
2019-03;5611
2019-05;6375
2019-06;5283
2020-04;10738
2020-07;8976
2021-01;9756
2021-02;5761
2021-07;8971
2022-04;8412
2022-12;8949
2023-11;6222
2023-12;7204
2024-04;5746
2012-01;6519
2012-05;4962
2012-09;4055
2014-10;4081
2015-01;4881
2015-02;3959
2015-10;3458
2016-03;5707
2016-05;5871
2016-07;6148
2016-10;6034
2017-12;6346
2018-05;5582
2019-02;5802
2019-04;5329
2019-07;6238
2020-03;13756
2020-08;6973
2020-11;7022
2022-01;12722
2023-05;7408
2023-10;6755
